Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/21/2023,2617,N889UA,EWR,23:12,23:33,74,57,21,23:27,6,21,0,0,0,0
UA,1/22/2023,604,N872UA,DEN,15:02,16:03,193,189,61,15:58,5,11,0,0,0,50
UA,1/22/2023,1998,N835UA,ORD,21:17,21:01,113,99,-16,20:56,5,0,0,0,0,0
UA,1/22/2023,2617,N834UA,EWR,23:12,23:14,74,60,2,23:10,4,0,0,0,0,0
UA,1/23/2023,604,N825UA,DEN,14:59,15:12,193,201,13,15:06,6,0,0,0,0,0
UA,1/23/2023,1998,N873UA,ORD,21:17,21:14,113,101,-3,21:09,5,0,0,0,0,0
UA,1/23/2023,2617,N808UA,EWR,23:12,23:36,74,59,24,23:31,5,7,0,0,0,17
UA,1/24/2023,604,N821UA,DEN,14:59,14:57,193,187,-2,14:52,5,0,0,0,0,0
UA,1/24/2023,1998,N851UA,ORD,21:17,21:04,113,104,-13,21:00,4,0,0,0,0,0
UA,1/24/2023,2617,N819UA,EWR,23:12,23:08,74,58,-4,23:03,5,0,0,0,0,0
UA,1/25/2023,604,N821UA,DEN,14:59,15:24,193,221,25,15:20,4,0,0,25,0,0
UA,1/25/2023,1998,N802UA,ORD,21:17,21:29,113,126,12,21:25,4,0,0,0,0,0
UA,1/25/2023,2617,N66831,EWR,23:12,23:43,74,106,31,23:37,6,0,0,31,0,0
UA,1/26/2023,604,N418UA,DEN,14:59,15:51,193,200,52,15:46,5,45,0,7,0,0
UA,1/26/2023,1998,N811UA,ORD,21:17,21:33,113,114,16,21:26,7,15,0,1,0,0
UA,1/26/2023,2617,N38417,EWR,23:12,23:04,74,63,-8,22:57,7,0,0,0,0,0
UA,1/27/2023,604,N827UA,DEN,14:59,15:12,193,206,13,15:06,6,0,0,0,0,0
UA,1/27/2023,1998,N842UA,ORD,21:17,21:16,113,106,-1,21:10,6,0,0,0,0,0
UA,1/27/2023,2617,N454UA,EWR,23:12,23:06,74,63,-6,23:01,5,0,0,0,0,0
UA,1/28/2023,604,N833UA,DEN,14:59,14:49,193,181,-10,14:45,4,0,0,0,0,0
UA,1/28/2023,1998,N473UA,ORD,21:17,21:07,113,98,-10,21:01,6,0,0,0,0,0
UA,1/28/2023,2617,N824UA,EWR,23:12,23:13,74,58,1,23:08,5,0,0,0,0,0
UA,1/29/2023,604,,DEN,15:02,0:00,193,0,0,0:00,0,0,0,0,0,0
UA,1/29/2023,1998,N893UA,ORD,21:17,21:15,113,109,-2,21:11,4,0,0,0,0,0
UA,1/29/2023,2617,N38473,EWR,23:12,23:17,74,55,5,23:12,5,0,0,0,0,0
UA,1/30/2023,604,N882UA,DEN,14:59,14:35,193,172,-24,14:30,5,0,0,0,0,0
UA,1/30/2023,1998,N836UA,ORD,21:17,21:21,113,103,4,21:16,5,0,0,0,0,0
