Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
WN,1/19/2023,1556,N277WN,BWI,22:55,23:03,70,64,8,22:59,4,0,0,0,0,0
WN,1/19/2023,2309,N954WN,BWI,16:15,16:07,70,63,-8,16:04,3,0,0,0,0,0
WN,1/20/2023,1003,N415WN,BWI,12:00,13:08,70,65,68,13:05,3,0,0,0,0,68
WN,1/20/2023,1556,N927WN,BWI,22:55,23:07,70,73,12,23:04,3,0,0,0,0,0
WN,1/20/2023,2309,N441WN,BWI,16:15,16:10,70,68,-5,16:07,3,0,0,0,0,0
WN,1/21/2023,1003,N8794Q,BWI,12:00,11:52,70,65,-8,11:49,3,0,0,0,0,0
WN,1/21/2023,2309,N8735L,BWI,15:10,15:11,70,65,1,15:08,3,0,0,0,0,0
WN,1/21/2023,2541,N7857B,BWI,22:00,22:06,70,74,6,22:03,3,0,0,0,0,0
WN,1/21/2023,2695,N500WR,MCO,13:45,13:37,160,156,-8,13:35,2,0,0,0,0,0
WN,1/22/2023,1199,N423WN,BWI,16:55,17:43,70,65,48,17:40,3,48,0,0,0,0
WN,1/22/2023,1578,N479WN,BWI,12:40,12:28,70,64,-12,12:25,3,0,0,0,0,0
WN,1/22/2023,2554,N938WN,BWI,23:05,23:59,70,58,54,23:56,3,0,0,0,0,54
WN,1/23/2023,1003,N8563Z,BWI,12:00,11:54,70,66,-6,11:51,3,0,0,0,0,0
WN,1/23/2023,1556,N904WN,BWI,22:55,23:05,70,67,10,23:03,2,0,0,0,0,0
WN,1/23/2023,2309,N751SW,BWI,16:15,19:09,70,75,174,19:05,4,148,0,5,0,21
WN,1/24/2023,1003,N8663A,BWI,12:00,11:58,70,62,-2,11:55,3,0,0,0,0,0
WN,1/24/2023,1556,N940WN,BWI,22:55,22:32,70,59,-23,22:29,3,0,0,0,0,0
WN,1/24/2023,2309,N910WN,BWI,16:15,16:03,70,59,-12,16:00,3,0,0,0,0,0
WN,1/25/2023,1003,N8602F,BWI,12:00,11:48,70,60,-12,11:44,4,0,0,0,0,0
WN,1/25/2023,1556,N900WN,BWI,22:55,22:55,70,54,0,22:52,3,0,0,0,0,0
WN,1/25/2023,2309,N961WN,BWI,16:15,16:10,70,55,-5,16:06,4,0,0,0,0,0
WN,1/26/2023,1003,N8318F,BWI,12:00,11:53,70,66,-7,11:51,2,0,0,0,0,0
WN,1/26/2023,1556,N907WN,BWI,22:55,22:48,70,64,-7,22:45,3,0,0,0,0,0
WN,1/26/2023,2309,N401WN,BWI,16:15,16:17,70,73,2,16:14,3,0,0,0,0,0
WN,1/27/2023,1003,N8581Z,BWI,12:00,11:47,70,62,-13,11:44,3,0,0,0,0,0
WN,1/27/2023,1556,N206WN,BWI,22:55,22:42,70,65,-13,22:39,3,0,0,0,0,0
WN,1/27/2023,2309,N253WN,BWI,16:15,16:12,70,68,-3,16:10,2,0,0,0,0,0
WN,1/28/2023,1003,N8680C,BWI,12:00,11:43,70,59,-17,11:41,2,0,0,0,0,0
WN,1/28/2023,2309,N8646B,BWI,15:10,15:08,70,64,-2,15:05,3,0,0,0,0,0
WN,1/28/2023,2541,N7882B,BWI,22:00,21:49,70,65,-11,21:47,2,0,0,0,0,0
WN,1/28/2023,2695,N8639B,MCO,13:45,13:48,160,141,3,13:47,1,0,0,0,0,0
WN,1/29/2023,1199,N437WN,BWI,16:55,16:59,70,62,4,16:56,3,0,0,0,0,0
WN,1/29/2023,1578,N757LV,BWI,12:40,12:24,70,59,-16,12:22,2,0,0,0,0,0
WN,1/29/2023,2554,N783SW,BWI,23:05,22:58,70,63,-7,22:56,2,0,0,0,0,0
WN,1/30/2023,1003,N8570W,BWI,12:00,11:47,70,60,-13,11:45,2,0,0,0,0,0
WN,1/30/2023,1556,N757LV,BWI,22:55,22:44,70,62,-11,22:40,4,0,0,0,0,0
WN,1/30/2023,2309,N7864B,BWI,16:15,16:02,70,62,-13,16:00,2,0,0,0,0,0
WN,1/31/2023,1003,N8564Z,BWI,12:00,12:02,70,72,2,11:59,3,0,0,0,0,0
WN,1/31/2023,1556,N7877H,BWI,22:55,22:52,70,59,-3,22:49,3,0,0,0,0,0
WN,1/31/2023,2309,N230WN,BWI,16:15,16:04,70,64,-11,16:01,3,0,0,0,0,0
WN,2/1/2023,1003,N8613K,BWI,12:00,11:50,70,63,-10,11:48,2,0,0,0,0,0
WN,2/1/2023,1556,N415WN,BWI,22:55,22:42,70,66,-13,22:39,3,0,0,0,0,0
WN,2/1/2023,2309,N473WN,BWI,16:15,16:48,70,61,33,16:46,2,33,0,0,0,0
WN,2/2/2023,1003,N8688J,BWI,12:00,11:52,70,67,-8,11:49,3,0,0,0,0,0
