Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
MQ,2/5/2023,3518,N765ST,ORD,16:15,15:59,114,101,-16,15:55,4,0,0,0,0,0
MQ,2/6/2023,3392,N274NN,ORD,22:24,22:30,104,104,6,22:25,5,0,0,0,0,0
MQ,2/6/2023,3518,N274NN,ORD,16:15,16:12,114,107,-3,16:09,3,0,0,0,0,0
MQ,2/7/2023,3518,N227NN,ORD,17:24,17:06,107,90,-18,17:00,6,0,0,0,0,0
MQ,2/8/2023,3518,N293NN,ORD,17:24,17:12,107,98,-12,17:07,5,0,0,0,0,0
MQ,2/9/2023,3392,N288NN,ORD,22:24,22:09,104,96,-15,22:04,5,0,0,0,0,0
MQ,2/9/2023,3518,N293NN,ORD,16:15,16:12,114,111,-3,16:09,3,0,0,0,0,0
MQ,2/10/2023,3392,N207AN,ORD,22:24,22:36,104,123,12,22:31,5,0,0,0,0,0
MQ,2/10/2023,3518,N765ST,ORD,16:15,16:16,114,96,1,16:12,4,0,0,0,0,0
MQ,2/11/2023,3313,N300LK,MIA,22:56,22:36,196,177,-20,22:30,6,0,0,0,0,0
MQ,2/11/2023,3518,N762DT,ORD,16:15,16:06,114,107,-9,15:59,7,0,0,0,0,0
MQ,2/12/2023,3392,N761RW,ORD,22:24,22:38,104,97,14,22:31,7,0,0,0,0,0
MQ,2/12/2023,3518,N768RD,ORD,16:15,16:05,114,107,-10,15:58,7,0,0,0,0,0
MQ,2/13/2023,3392,N243NN,ORD,22:24,22:21,104,107,-3,22:15,6,0,0,0,0,0
MQ,2/13/2023,3518,N282NN,ORD,16:15,15:54,114,99,-21,15:50,4,0,0,0,0,0
MQ,2/14/2023,3518,N220NN,ORD,17:24,17:18,107,102,-6,17:13,5,0,0,0,0,0
MQ,2/15/2023,3518,N255NN,ORD,17:24,18:16,107,94,52,18:13,3,0,0,0,0,52
MQ,2/16/2023,3392,N280NN,ORD,22:24,5:27,104,162,423,5:23,4,0,365,58,0,0
MQ,2/16/2023,3518,N763CC,ORD,16:15,16:19,114,120,4,16:16,3,0,0,0,0,0
MQ,2/17/2023,3392,N288NN,ORD,22:24,23:28,104,118,64,23:16,12,0,0,14,0,50
MQ,2/17/2023,3518,N762DT,ORD,16:15,16:12,114,112,-3,16:08,4,0,0,0,0,0
MQ,2/18/2023,3313,N284JN,MIA,22:56,22:56,196,198,0,22:52,4,0,0,0,0,0
MQ,2/18/2023,3518,N761RW,ORD,16:15,15:58,114,97,-17,15:54,4,0,0,0,0,0
MQ,2/19/2023,3392,N762DT,ORD,22:24,22:32,104,104,8,22:16,16,0,0,0,0,0
MQ,2/19/2023,3518,N768RD,ORD,16:15,15:56,114,99,-19,15:53,3,0,0,0,0,0
MQ,2/20/2023,3392,N236NN,ORD,22:24,22:33,104,117,9,22:30,3,0,0,0,0,0
MQ,2/20/2023,3518,N766JM,ORD,16:15,16:02,114,102,-13,15:56,6,0,0,0,0,0
MQ,2/21/2023,3518,N228NN,ORD,17:24,17:05,107,97,-19,17:01,4,0,0,0,0,0
MQ,2/22/2023,3518,N231AN,ORD,17:24,17:22,107,94,-2,17:19,3,0,0,0,0,0
MQ,2/23/2023,3392,N766JM,ORD,22:24,22:32,104,112,8,22:24,8,0,0,0,0,0
MQ,2/23/2023,3518,N231AN,ORD,16:15,15:52,114,94,-23,15:48,4,0,0,0,0,0
MQ,2/24/2023,3392,N300LK,ORD,22:24,23:26,104,113,62,23:20,6,0,0,9,0,53
MQ,2/24/2023,3518,N763CC,ORD,16:15,16:00,114,96,-15,15:56,4,0,0,0,0,0
MQ,2/25/2023,3313,N278NN,MIA,22:56,23:21,196,223,25,22:42,39,0,0,25,0,0
MQ,2/25/2023,3518,N761RW,ORD,16:15,15:59,114,92,-16,15:55,4,0,0,0,0,0
MQ,2/26/2023,3392,N764JD,ORD,22:24,22:43,104,129,19,22:18,25,0,0,19,0,0
MQ,2/26/2023,3518,N764JD,ORD,16:15,16:05,114,108,-10,16:00,5,0,0,0,0,0
MQ,2/27/2023,3392,N214NN,ORD,22:24,22:39,104,102,15,22:29,10,0,15,0,0,0
MQ,2/27/2023,3518,N762DT,ORD,16:15,16:02,114,96,-13,15:59,3,0,0,0,0,0
MQ,2/28/2023,3518,N231AN,ORD,17:24,17:08,107,97,-16,17:03,5,0,0,0,0,0
MQ,3/3/2023,3392,N227NN,ORD,22:33,22:56,113,133,23,22:46,10,0,3,20,0,0
MQ,3/4/2023,3943,N200NN,MIA,22:56,22:52,196,194,-4,22:38,14,0,0,0,0,0
MQ,3/10/2023,3392,N223NN,ORD,22:33,23:08,113,122,35,23:01,7,0,0,9,0,26
MQ,3/11/2023,3943,N235NN,MIA,22:56,23:31,196,231,35,23:26,5,0,0,35,0,0
MQ,3/17/2023,3392,N260NN,ORD,22:33,22:55,113,111,22,22:49,6,22,0,0,0,0
MQ,3/18/2023,3943,N241NN,MIA,22:49,22:50,194,192,1,22:46,4,0,0,0,0,0
MQ,3/24/2023,3392,N210NN,ORD,22:33,22:24,113,108,-9,22:20,4,0,0,0,0,0
MQ,3/25/2023,3943,N272NN,MIA,22:49,22:20,194,167,-29,22:16,4,0,0,0,0,0
MQ,3/31/2023,3392,N288NN,ORD,22:33,2:19,113,87,226,2:16,3,0,0,0,0,226
MQ,4/1/2023,3943,N246NN,MIA,22:49,23:50,194,232,61,23:30,20,0,0,38,0,23
MQ,6/1/2023,3402,N264NN,ORD,22:32,23:29,110,120,57,23:24,5,0,5,10,0,42
MQ,6/1/2023,3949,N766JM,ORD,16:04,15:45,109,96,-19,15:41,4,0,0,0,0,0
